CPF,Papel_Empresa,Salario,Idade,Tempo_Empresa,Departamento,Localizacao,Avaliacao_Desempenho,Carga_Horaria,Bonus
822.160.427-37,Product Manager,13983.84,29,6.7,Vendas,Belo Horizonte,3.2,33,1306.09
460.219.959-20,Team Member,7523.01,35,6.0,Produto,Rio de Janeiro,6.5,33,1125.35
800.199.108-25,Product Manager,15938.76,25,13.1,Vendas,Rio de Janeiro,9.6,30,2076.95
603.184.884-29,Tech Lead,21344.6,24,8.0,Vendas,Curitiba,4.9,42,3912.12
234.840.605-25,Product Manager,14961.1,30,1.7,Vendas,Fortaleza,5.7,40,2494.2
736.699.730-90,Group Product Manager,23103.11,31,9.9,Produto,Porto Alegre,8.3,46,2688.52
274.706.356-25,Tech Lead,18280.77,30,10.9,Vendas,Curitiba,6.0,35,2335.31
889.703.777-30,Group Product Manager,27017.08,22,10.2,Produto,Belo Horizonte,3.6,31,2736.48
766.540.153-30,Group Product Manager,26753.4,43,13.9,Vendas,Curitiba,3.4,36,5332.96
157.682.777-99,Tech Lead,18641.54,32,14.0,Marketing,Fortaleza,9.8,32,1261.68
478.756.907-87,Tech Lead,18667.93,31,9.5,Vendas,Brasília,3.9,36,1997.11
160.721.822-52,Tech Lead,17542.34,38,2.8,Vendas,Brasília,9.4,38,1096.28
623.468.509-98,Group Product Manager,28979.86,39,3.5,Marketing,Recife,8.8,49,4635.69
646.875.578-79,Tech Lead,17300.95,29,1.3,Produto,São Paulo,4.5,41,3077.53
317.726.266-30,Group Product Manager,26003.58,60,13.6,Vendas,Curitiba,9.7,42,5133.7
988.560.969-94,Tech Lead,15556.8,40,2.4,Produto,Manaus,7.2,31,1285.79
961.633.920-63,Group Product Manager,27643.52,53,3.5,Marketing,Rio de Janeiro,2.1,36,2137.97
860.431.823-88,Team Member,11870.95,32,4.9,TI,Salvador,8.5,32,1266.78
397.138.925-88,Tech Lead,15925.62,35,10.9,Vendas,Belo Horizonte,6.5,33,2247.18
825.407.793-88,Tech Lead,20231.77,27,5.4,Vendas,São Paulo,4.8,50,2218.99
397.569.581-87,Group Product Manager,26687.54,23,14.5,Marketing,Salvador,6.7,45,4205.94
527.453.852-52,Tech Lead,20817.14,46,11.5,Vendas,Porto Alegre,7.6,41,3650.26
935.472.894-67,Group Product Manager,24504.92,23,9.9,Produto,Belo Horizonte,6.1,42,2307.37
814.939.276-93,Team Member,6110.8,35,4.0,Produto,Brasília,8.0,32,647.02
347.167.840-64,Tech Lead,17698.24,59,7.2,Vendas,Salvador,2.3,36,2032.94
110.838.795-63,Tech Lead,16037.37,47,12.3,Produto,Belo Horizonte,7.7,38,1833.97
536.642.172-93,Team Member,7163.55,37,7.4,Marketing,Salvador,2.0,39,403.86
695.970.583-22,Product Manager,17718.52,22,14.9,Vendas,Salvador,9.1,31,1600.51
641.204.429-85,Tech Lead,23575.92,34,13.1,Marketing,Fortaleza,7.6,37,1912.21
680.748.507-59,Group Product Manager,20549.79,40,5.9,Marketing,Porto Alegre,8.7,47,1062.56
869.451.689-63,Group Product Manager,21056.33,44,11.4,TI,Manaus,7.8,48,3746.44
295.617.858-57,Product Manager,19951.13,34,5.6,TI,Curitiba,2.7,34,2479.99
619.459.703-35,Group Product Manager,33916.46,25,4.5,Produto,Belo Horizonte,3.3,50,4912.5
984.946.357-74,Group Product Manager,26835.96,55,4.1,Vendas,Brasília,1.3,42,1674.67
110.188.470-29,Team Member,5062.4,22,13.8,Produto,Manaus,3.4,50,365.32
562.396.451-39,Team Member,9467.25,45,7.1,Vendas,Manaus,4.6,39,861.39
185.153.600-79,Tech Lead,22472.84,28,2.2,TI,Porto Alegre,1.2,32,2542.53
832.199.541-34,Group Product Manager,28980.18,54,10.5,Vendas,Fortaleza,5.3,40,1750.45
141.999.155-11,Team Member,5279.11,45,12.7,TI,Porto Alegre,1.5,39,623.7
777.116.841-92,Group Product Manager,31133.75,28,9.2,Marketing,Fortaleza,9.6,38,4435.99
604.136.384-11,Product Manager,16145.18,50,8.5,Marketing,Rio de Janeiro,3.3,36,1420.1
586.821.282-47,Product Manager,18310.19,35,6.7,Marketing,Recife,7.7,42,2221.59
876.175.269-39,Group Product Manager,22791.74,39,7.9,Produto,Belo Horizonte,5.1,43,2684.41
134.507.422-26,Team Member,8615.79,26,9.5,Marketing,Salvador,5.7,47,1535.98
357.700.634-41,Group Product Manager,26050.38,31,3.8,TI,Brasília,4.3,39,3692.73
834.817.571-57,Team Member,7960.73,46,4.6,Produto,Porto Alegre,6.5,33,707.23
236.443.796-22,Product Manager,12009.81,35,8.1,Marketing,Porto Alegre,6.2,43,1949.38
745.230.545-27,Team Member,11053.74,24,9.7,Vendas,Rio de Janeiro,1.6,30,961.42
568.397.793-94,Product Manager,12126.12,38,3.1,TI,São Paulo,4.6,34,1143.1
898.555.434-48,Tech Lead,21315.76,46,13.8,Vendas,Manaus,1.1,37,2894.74
956.536.691-86,Tech Lead,16839.32,30,9.8,Vendas,Fortaleza,9.8,44,2979.59
952.648.189-16,Tech Lead,24339.24,39,13.4,Marketing,Brasília,4.3,30,4843.17
981.604.260-34,Team Member,9825.21,28,8.9,Produto,São Paulo,2.2,35,929.13
918.681.330-98,Product Manager,12494.47,44,3.3,Vendas,Porto Alegre,5.8,40,1218.48
668.553.940-76,Group Product Manager,33265.27,51,14.9,Marketing,São Paulo,2.7,35,2496.92
339.338.480-73,Group Product Manager,32497.32,50,6.0,Produto,Belo Horizonte,1.8,34,3407.99
321.496.925-77,Product Manager,15434.41,53,12.5,Vendas,Brasília,6.8,36,1359.12
653.715.872-46,Product Manager,19736.49,52,7.7,Marketing,Fortaleza,3.3,37,3433.63
215.694.839-12,Product Manager,16874.88,40,4.8,Produto,Brasília,4.3,49,1791.34
401.495.483-86,Tech Lead,21891.73,48,2.8,Marketing,Recife,7.2,42,2027.02
