cpf,sexo,curso,salario_5_anos,estado,cidade,trabalha_na_area,tipo_empresa
1,Masculino,Engenharia Civil,3669.69,RN,Caruaru,Sim,Privada
2,Feminino,Engenharia Civil,3700.13,PB,Caruaru,Sim,Empreendedor
3,Masculino,Enfermagem,2480.28,RN,Caruaru,Não,Empreendedor
4,Masculino,Engenharia Civil,4343.96,PE,Recife,Sim,Privada
5,Masculino,Pedagogia,3167.24,PE,Recife,Sim,Pública
6,Feminino,Engenharia Civil,4852.78,PE,Recife,Não,Pública
7,Masculino,Pedagogia,3433.51,CE,Caruaru,Não,Empreendedor
8,Masculino,Engenharia Civil,3327.3,CE,Caruaru,Não,Pública
9,Masculino,Pedagogia,2375.12,PB,Caruaru,Não,Privada
10,Feminino,Engenharia Civil,2506.57,RN,Olinda,Não,Pública
11,Masculino,Engenharia Civil,5081.32,AL,Olinda,Sim,Empreendedor
12,Masculino,Direito,3822.76,PB,Caruaru,Não,Privada
13,Masculino,Pedagogia,3967.16,AL,Recife,Não,Privada
14,Masculino,Pedagogia,5420.78,AL,Recife,Não,Pública
15,Feminino,Pedagogia,1918.89,PB,Olinda,Sim,Pública
16,Masculino,Administração,4305.51,RN,Olinda,Não,Privada
17,Feminino,Engenharia Civil,1594.53,AL,Caruaru,Não,Empreendedor
18,Feminino,Pedagogia,2974.82,CE,Caruaru,Sim,Empreendedor
19,Feminino,Administração,2125.9,CE,Recife,Sim,Pública
20,Masculino,Direito,4530.31,PB,Limoeiro,Não,Empreendedor
21,Feminino,Pedagogia,1232.33,AL,Recife,Sim,Privada
22,Masculino,Pedagogia,3223.9,PB,Recife,Sim,Empreendedor
23,Feminino,Administração,2109.48,CE,Caruaru,Não,Privada
24,Feminino,Engenharia Civil,2474.23,PB,Limoeiro,Sim,Pública
25,Feminino,Direito,2659.15,AL,Limoeiro,Sim,Empreendedor
26,Feminino,Pedagogia,5082.93,AL,Caruaru,Não,Privada
27,Feminino,Engenharia Civil,3097.72,CE,Vitória,Sim,Pública
28,Feminino,Direito,5572.79,PE,Caruaru,Sim,Privada
29,Feminino,Enfermagem,5823.9,PE,Olinda,Não,Empreendedor
30,Feminino,Enfermagem,6036.42,RN,Limoeiro,Não,Privada
31,Masculino,Direito,3429.48,CE,Caruaru,Sim,Pública
32,Masculino,Administração,3752.43,RN,Recife,Sim,Pública
33,Feminino,Direito,3953.55,CE,Recife,Sim,Empreendedor
34,Feminino,Direito,3059.01,AL,Recife,Sim,Pública
35,Feminino,Administração,4009.24,CE,Caruaru,Sim,Empreendedor
36,Masculino,Administração,2377.76,PB,Vitória,Não,Pública
37,Feminino,Engenharia Civil,1249.43,RN,Olinda,Sim,Empreendedor
38,Masculino,Engenharia Civil,4356.96,CE,Recife,Sim,Pública
39,Masculino,Administração,3080.27,RN,Caruaru,Não,Empreendedor
40,Masculino,Enfermagem,2327.97,CE,Vitória,Não,Privada
41,Masculino,Enfermagem,2479.73,PE,Limoeiro,Sim,Privada
42,Masculino,Direito,5318.15,RN,Limoeiro,Sim,Empreendedor
43,Feminino,Pedagogia,4056.94,AL,Olinda,Não,Pública
44,Feminino,Direito,1673.23,AL,Caruaru,Sim,Pública
45,Feminino,Direito,2075.62,CE,Caruaru,Não,Empreendedor
46,Feminino,Pedagogia,3149.74,AL,Recife,Não,Pública
47,Feminino,Administração,4071.69,AL,Vitória,Não,Empreendedor
48,Masculino,Enfermagem,2546.51,RN,Olinda,Não,Privada
49,Feminino,Direito,3292.46,CE,Vitória,Sim,Empreendedor
50,Feminino,Pedagogia,3637.46,RN,Olinda,Não,Pública
51,Masculino,Engenharia Civil,3662.32,CE,Caruaru,Sim,Pública
52,Feminino,Direito,625.84,AL,Caruaru,Não,Empreendedor
53,Masculino,Enfermagem,3765.97,CE,Olinda,Sim,Empreendedor
54,Feminino,Administração,1420.57,CE,Vitória,Sim,Empreendedor
55,Masculino,Direito,3156.32,PB,Limoeiro,Não,Empreendedor
56,Feminino,Direito,2898.3,CE,Limoeiro,Sim,Privada
57,Feminino,Pedagogia,2205.52,PB,Recife,Sim,Pública
58,Masculino,Engenharia Civil,4511.8,RN,Recife,Sim,Pública
59,Masculino,Engenharia Civil,2151.23,PB,Vitória,Não,Empreendedor
60,Masculino,Administração,2872.48,RN,Caruaru,Sim,Empreendedor
61,Masculino,Enfermagem,4554.48,CE,Vitória,Sim,Empreendedor
62,Masculino,Administração,2838.2,RN,Olinda,Não,Privada
63,Masculino,Direito,2589.79,AL,Limoeiro,Não,Privada
64,Masculino,Direito,3178.21,CE,Recife,Sim,Empreendedor
65,Masculino,Engenharia Civil,4148.6,PB,Vitória,Não,Pública
66,Feminino,Enfermagem,5235.57,PE,Vitória,Não,Privada
67,Feminino,Pedagogia,2376.65,CE,Olinda,Não,Pública
68,Masculino,Enfermagem,2473.9,AL,Caruaru,Sim,Privada
69,Feminino,Direito,3168.4,RN,Caruaru,Não,Empreendedor
70,Feminino,Pedagogia,3776.17,PB,Limoeiro,Não,Empreendedor
71,Feminino,Enfermagem,2575.7,PB,Recife,Não,Pública
72,Feminino,Enfermagem,4326.28,AL,Caruaru,Sim,Empreendedor
73,Masculino,Pedagogia,2399.27,AL,Caruaru,Não,Pública
74,Feminino,Direito,1218.97,CE,Caruaru,Sim,Empreendedor
75,Masculino,Enfermagem,4138.13,PE,Vitória,Não,Empreendedor
76,Feminino,Pedagogia,4277.11,PE,Caruaru,Sim,Pública
77,Feminino,Direito,4753.58,RN,Olinda,Não,Empreendedor
78,Feminino,Pedagogia,1109.72,PB,Limoeiro,Não,Privada
79,Masculino,Pedagogia,2701.26,CE,Caruaru,Sim,Empreendedor
80,Feminino,Enfermagem,3198.73,PB,Recife,Sim,Pública
81,Masculino,Direito,5608.35,CE,Vitória,Não,Empreendedor
82,Feminino,Enfermagem,3308.96,AL,Olinda,Não,Privada
83,Masculino,Administração,1884.18,RN,Limoeiro,Não,Empreendedor
84,Feminino,Administração,3856.09,AL,Vitória,Sim,Empreendedor
85,Masculino,Direito,5071.35,PB,Olinda,Não,Privada
86,Masculino,Pedagogia,4815.97,RN,Vitória,Não,Empreendedor
87,Feminino,Enfermagem,4174.16,CE,Limoeiro,Não,Empreendedor
88,Masculino,Enfermagem,3815.16,CE,Limoeiro,Sim,Pública
89,Feminino,Direito,778.7,RN,Caruaru,Não,Pública
90,Feminino,Direito,3530.8,AL,Recife,Sim,Pública
91,Feminino,Administração,3713.77,RN,Caruaru,Sim,Pública
92,Feminino,Engenharia Civil,3308.11,AL,Vitória,Não,Privada
93,Feminino,Direito,4348.52,RN,Caruaru,Sim,Pública
94,Feminino,Engenharia Civil,3288.8,AL,Limoeiro,Sim,Pública
95,Feminino,Direito,3057.72,PE,Limoeiro,Não,Empreendedor
96,Feminino,Pedagogia,4746.8,RN,Limoeiro,Não,Privada
97,Feminino,Pedagogia,3003.69,AL,Caruaru,Não,Privada
98,Feminino,Administração,3577.58,PB,Olinda,Sim,Pública
99,Feminino,Administração,4577.04,PB,Caruaru,Sim,Empreendedor
100,Masculino,Engenharia Civil,2287.2,RN,Caruaru,Sim,Privada
101,Masculino,Direito,2156.98,RN,Caruaru,Não,Privada
102,Feminino,Enfermagem,5129.53,CE,Caruaru,Sim,Pública
103,Feminino,Administração,2788.75,AL,Limoeiro,Não,Pública
104,Feminino,Enfermagem,4330.92,RN,Recife,Não,Pública
105,Feminino,Enfermagem,1369.61,PB,Caruaru,Sim,Empreendedor
106,Feminino,Direito,496.34,PB,Caruaru,Sim,Pública
107,Feminino,Engenharia Civil,3937.08,PB,Recife,Sim,Privada
108,Feminino,Direito,3346.98,AL,Caruaru,Não,Privada
109,Feminino,Administração,3948.36,PE,Recife,Sim,Pública
110,Masculino,Enfermagem,5749.65,RN,Limoeiro,Não,Privada
111,Feminino,Direito,2015.19,PE,Olinda,Sim,Empreendedor
112,Masculino,Direito,3545.83,AL,Caruaru,Não,Pública
113,Feminino,Direito,5272.96,RN,Olinda,Sim,Privada
114,Feminino,Administração,2188.41,CE,Caruaru,Sim,Privada
115,Masculino,Engenharia Civil,2798.33,RN,Vitória,Não,Pública
116,Feminino,Direito,1379.26,RN,Vitória,Sim,Privada
117,Masculino,Administração,6185.42,RN,Limoeiro,Sim,Privada
118,Feminino,Enfermagem,854.55,RN,Olinda,Não,Pública
119,Feminino,Pedagogia,4458.3,RN,Olinda,Sim,Empreendedor
120,Masculino,Administração,1916.24,AL,Recife,Sim,Privada
121,Feminino,Pedagogia,2238.93,RN,Recife,Não,Empreendedor
122,Masculino,Direito,4776.74,AL,Caruaru,Sim,Empreendedor
123,Feminino,Direito,2608.99,RN,Recife,Sim,Empreendedor
124,Masculino,Administração,4282.15,RN,Recife,Não,Empreendedor
125,Masculino,Pedagogia,5156.04,AL,Olinda,Sim,Empreendedor
126,Feminino,Direito,3740.84,RN,Vitória,Sim,Privada
127,Feminino,Enfermagem,4567.14,PB,Olinda,Não,Privada
